field,label,silhouette
STAGE_IFRS9,3,-0.0609
STAGE_IFRS9,3,-0.0879
STAGE_IFRS9,3,-0.0661
STAGE_IFRS9,3,-0.0939
STAGE_IFRS9,3,-0.067
STAGE_IFRS9,3,-0.0591
STAGE_IFRS9,3,-0.0767
STAGE_IFRS9,3,-0.0957
STAGE_IFRS9,3,-0.0508
STAGE_IFRS9,3,-0.0575
STAGE_IFRS9,3,-0.0539
RATING_GRADO,9,-0.06
RATING_GRADO,9,-0.1115
RATING_GRADO,9,-0.092
RATING_GRADO,9,-0.1098
RATING_GRADO,10,-0.0963
RATING_GRADO,10,-0.0538
RATING_GRADO,10,-0.0611
RATING_GRADO,9,-0.0611
RATING_GRADO,10,-0.1466
RATING_GRADO,10,-0.1617
RATING_GRADO,9,-0.0831
RATING_GRADO,9,-0.1229
RATING_GRADO,9,-0.0931
RATING_GRADO,10,-0.1626
RATING_GRADO,10,-0.0546
RATING_GRADO,10,-0.0674
RATING_GRADO,10,-0.0902
RATING_GRADO,10,-0.0602
RATING_GRADO,9,-0.1779
RATING_GRADO,9,-0.1058
RATING_GRADO,10,-0.0521
RATING_GRADO,9,-0.1074
RATING_GRADO,10,-0.0863
RATING_GRADO,10,-0.0807
RATING_GRADO,9,-0.0694
RATING_GRADO,9,-0.0796
RATING_GRADO,9,-0.096
RATING_GRADO,10,-0.1442
RATING_GRADO,10,-0.091
RATING_GRADO,9,-0.0616
RATING_GRADO,9,-0.0968
RATING_GRADO,9,-0.0672
RATING_GRADO,10,-0.0954
RATING_GRADO,9,-0.1111
RATING_GRADO,10,-0.1571
RATING_GRADO,9,-0.1359
RATING_GRADO,9,-0.0776
RATING_GRADO,10,-0.1039
RATING_GRADO,10,-0.13
RATING_GRADO,9,-0.116
RATING_GRADO,10,-0.0574
RATING_GRADO,9,-0.1424
RATING_GRADO,9,-0.1161
RATING_GRADO,10,-0.0653
RATING_GRADO,10,-0.078
RATING_GRADO,10,-0.0869
RATING_GRADO,10,-0.0835
RATING_GRADO,10,-0.1424
RATING_GRADO,9,-0.0864
RATING_GRADO,9,-0.0874
ADJUDICACION_TIPO,nan,-0.085
ADJUDICACION_TIPO,nan,-0.0645
ADJUDICACION_TIPO,nan,-0.2249
ADJUDICACION_TIPO,nan,-0.0563
ADJUDICACION_TIPO,nan,-0.224
ADJUDICACION_TIPO,nan,-0.0637
ADJUDICACION_TIPO,nan,-0.1684
ADJUDICACION_TIPO,nan,-0.0581
ADJUDICACION_TIPO,nan,-0.0867
ADJUDICACION_TIPO,nan,-0.0945
ADJUDICACION_TIPO,nan,-0.2381
ADJUDICACION_TIPO,nan,-0.1129
ADJUDICACION_TIPO,nan,-0.0589
ADJUDICACION_TIPO,nan,-0.1248
ADJUDICACION_TIPO,nan,-0.2653
ADJUDICACION_TIPO,nan,-0.1183
ADJUDICACION_TIPO,nan,-0.0584
ADJUDICACION_TIPO,nan,-0.2559
ADJUDICACION_TIPO,nan,-0.1295
ADJUDICACION_TIPO,nan,-0.0651
ADJUDICACION_TIPO,nan,-0.1353
ADJUDICACION_TIPO,nan,-0.1636
ADJUDICACION_TIPO,nan,-0.0979
ADJUDICACION_TIPO,nan,-0.2653
ADJUDICACION_TIPO,nan,-0.2555
ADJUDICACION_TIPO,nan,-0.0711
ADJUDICACION_TIPO,nan,-0.0879
ADJUDICACION_TIPO,nan,-0.0586
ADJUDICACION_TIPO,nan,-0.0578
ADJUDICACION_TIPO,nan,-0.0507
ADJUDICACION_TIPO,nan,-0.2507
ADJUDICACION_TIPO,nan,-0.1251
ADJUDICACION_TIPO,nan,-0.1065
ADJUDICACION_TIPO,nan,-0.0694
ADJUDICACION_TIPO,nan,-0.097
ADJUDICACION_TIPO,nan,-0.0887
ADJUDICACION_TIPO,nan,-0.2053
ADJUDICACION_TIPO,nan,-0.0634
ADJUDICACION_TIPO,nan,-0.109
ADJUDICACION_TIPO,nan,-0.1481
ADJUDICACION_TIPO,nan,-0.0942
ADJUDICACION_TIPO,nan,-0.1455
ADJUDICACION_TIPO,nan,-0.1172
ADJUDICACION_TIPO,nan,-0.1348
ADJUDICACION_TIPO,nan,-0.1314
ADJUDICACION_TIPO,nan,-0.0674
ADJUDICACION_TIPO,nan,-0.2474
ADJUDICACION_TIPO,nan,-0.2556
ADJUDICACION_TIPO,nan,-0.057
ADJUDICACION_TIPO,nan,-0.1115
