field,sample_pos,row_id,label,normalized_entropy
CALIBRATION_SEGMENT,10,15353,MORTGAGE_LTV_HIGH,0.9835
CALIBRATION_SEGMENT,13,18072,RETAIL_REVOLVING,0.8113
CALIBRATION_SEGMENT,27,14546,CORP_LARGE,0.8433
CALIBRATION_SEGMENT,42,6500,CORP_MID,0.971
CALIBRATION_SEGMENT,75,5773,CORP_SMALL,0.8813
CALIBRATION_SEGMENT,88,20344,SME_MICRO,0.8113
CALIBRATION_SEGMENT,93,4984,RETAIL_REVOLVING,0.8813
CALIBRATION_SEGMENT,107,1016,RETAIL_OTHER,0.9341
CALIBRATION_SEGMENT,117,8714,MORTGAGE_LTV_LOW,0.8113
CALIBRATION_SEGMENT,121,11742,SME_MEDIUM,0.8113
CALIBRATION_SEGMENT,127,1036,CORP_MID,0.9341
CALIBRATION_SEGMENT,137,15609,RETAIL_REVOLVING,0.8113
CALIBRATION_SEGMENT,138,18055,RETAIL_REVOLVING,0.8113
CALIBRATION_SEGMENT,139,1035,CORP_MID,0.9341
CALIBRATION_SEGMENT,159,13371,CORP_MID,0.9341
CALIBRATION_SEGMENT,166,4150,CORP_SMALL,0.9197
CALIBRATION_SEGMENT,183,15313,CORP_LARGE,0.971
CALIBRATION_SEGMENT,196,18066,RETAIL_REVOLVING,0.8813
CALIBRATION_SEGMENT,212,20942,SME_SMALL,0.8113
CALIBRATION_SEGMENT,222,13156,SME_MICRO,0.8113
CALIBRATION_SEGMENT,227,3119,RETAIL_OTHER,0.9341
CALIBRATION_SEGMENT,230,832,CORP_SMALL,0.8113
CALIBRATION_SEGMENT,234,2651,CORP_MID,0.8813
CALIBRATION_SEGMENT,238,20307,SME_MICRO,0.8113
CALIBRATION_SEGMENT,248,2641,CORP_MID,0.8813
CALIBRATION_SEGMENT,251,22304,CORP_LARGE,0.8813
CALIBRATION_SEGMENT,253,13491,SME_MEDIUM,0.8813
CALIBRATION_SEGMENT,256,5760,CORP_SMALL,0.8813
CALIBRATION_SEGMENT,269,16199,CORP_LARGE,0.8813
CALIBRATION_SEGMENT,270,11731,SME_MEDIUM,0.8113
CALIBRATION_SEGMENT,272,15632,RETAIL_REVOLVING,0.8813
CALIBRATION_SEGMENT,288,14043,SME_SMALL,0.8113
CALIBRATION_SEGMENT,294,4145,CORP_SMALL,0.9197
CALIBRATION_SEGMENT,298,995,RETAIL_OTHER,0.8813
CALIBRATION_SEGMENT,306,15242,SME_MICRO,0.8113
CALIBRATION_SEGMENT,331,13024,SME_SMALL,0.9928
CALIBRATION_SEGMENT,334,14633,SME_MICRO,1.0
CALIBRATION_SEGMENT,335,5533,CORP_MID,0.9928
CALIBRATION_SEGMENT,337,2747,SME_MICRO,0.9928
CALIBRATION_SEGMENT,350,4654,RETAIL_OTHER,0.9928
CALIBRATION_SEGMENT,363,14617,SME_MICRO,1.0
CALIBRATION_SEGMENT,369,2623,CORP_MID,0.8813
CALIBRATION_SEGMENT,380,15937,MORTGAGE_LTV_LOW,0.8113
CALIBRATION_SEGMENT,388,5764,CORP_SMALL,0.8813
CALIBRATION_SEGMENT,390,7744,SME_MICRO,0.971
CALIBRATION_SEGMENT,409,12337,CORP_MID,0.9341
CALIBRATION_SEGMENT,423,20339,SME_MICRO,0.8113
CALIBRATION_SEGMENT,424,13594,SME_MEDIUM,0.9197
CALIBRATION_SEGMENT,441,13364,CORP_MID,0.9341
CALIBRATION_SEGMENT,442,15320,CORP_LARGE,0.971
CALIBRATION_SEGMENT,449,800,CORP_SMALL,0.8113
CALIBRATION_SEGMENT,457,16513,SME_SMALL,1.0
CALIBRATION_SEGMENT,468,2257,RETAIL_REVOLVING,0.9341
CALIBRATION_SEGMENT,482,1048,CORP_MID,0.9341
CALIBRATION_SEGMENT,495,301,SME_MEDIUM,0.8113
CALIBRATION_SEGMENT,496,20330,SME_MICRO,0.8113
