id,system_prompt,user_query,assistant_response
11,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza este SQL de stress testing de PD:
```sql
SELECT cliente_id,
       pd_base * 1.5 as pd_stress
FROM cartera;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Factor arbitrario**: El multiplicador 1.5 no está basado en análisis macroeconómico.
2. ❌ **Sin modelo satélite**: EBA/GL/2018/04 requiere vincular PD a variables macro (PIB, desempleo).
3. ❌ **Sin escenarios EBA**: Debe usarse escenario adverso oficial de EBA stress test.
4. ⚠️ **Sin cap**: PD estresada no puede superar 100%.

**Código corregido:**
```sql
WITH escenario_adverso AS (
    SELECT sector,
           pib_shock, desempleo_shock, tipos_shock
    FROM escenarios_eba
    WHERE tipo = 'ADVERSO' AND año = 2024
)
SELECT c.cliente_id,
       LEAST(1.0,
           c.pd_base * EXP(
               m.beta_pib * e.pib_shock +
               m.beta_desempleo * e.desempleo_shock +
               m.beta_tipos * e.tipos_shock
           )
       ) as pd_stress
FROM cartera c
JOIN modelos_satelite m ON c.segmento = m.segmento
JOIN escenario_adverso e ON c.sector = e.sector;
```"
12,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa esta validación de poder discriminatorio:
```sql
SELECT 
    (SELECT COUNT(*) FROM pares WHERE score_default > score_no_default) /
    (SELECT COUNT(*) FROM pares) as gini
FROM dual;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Fórmula Gini incorrecta**: Gini = 2*AUC - 1, no ratio de pares concordantes.
2. ❌ **Sin empates**: Debe considerar pares empatados (0.5 de crédito).
3. ❌ **Sin intervalo confianza**: EBA requiere bootstrap o DeLong para IC.
4. ⚠️ **Umbral mínimo**: Gini > 0.40 generalmente aceptable, < 0.30 problemático.

**Código corregido:**
```sql
WITH pares_ordenados AS (
    SELECT 
        SUM(CASE 
            WHEN d.score > nd.score THEN 1.0
            WHEN d.score = nd.score THEN 0.5
            ELSE 0.0
        END) as concordantes,
        COUNT(*) as total_pares
    FROM defaults d
    CROSS JOIN no_defaults nd
),
auc_calc AS (
    SELECT concordantes / NULLIF(total_pares, 0) as auc
    FROM pares_ordenados
)
SELECT 
    auc,
    2 * auc - 1 as gini,
    CASE 
        WHEN 2*auc-1 >= 0.50 THEN 'EXCELENTE'
        WHEN 2*auc-1 >= 0.40 THEN 'BUENO'
        WHEN 2*auc-1 >= 0.30 THEN 'ACEPTABLE'
        ELSE 'INSUFICIENTE'
    END as clasificacion
FROM auc_calc;
```"
13,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza este cálculo de capital por riesgo de crédito:
```sql
SELECT SUM(rwa * 0.08) as capital_requerido
FROM exposiciones_irb;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ⚠️ **Solo Pilar 1**: El 8% es mínimo regulatorio, falta buffer de conservación (2.5%), contracíclico y G-SIB/O-SII.
2. ❌ **Sin Pilar 2**: Falta P2R (Pillar 2 Requirement) específico del supervisor.
3. ❌ **Sin output floor**: Basel III final (CRR3) introduce floor del 72.5% vs método estándar.
4. ⚠️ **Sin MREL/TLAC**: Entidades sistémicas tienen requerimientos adicionales.

**Código corregido:**
```sql
WITH rwa_total AS (SELECT SUM(rwa) as rwa FROM exposiciones_irb),
     floor_calc AS (
         SELECT SUM(rwa_estandar) * 0.725 as rwa_floor 
         FROM exposiciones_estandar
     ),
     buffers AS (
         SELECT 0.025 as conservacion, 0.01 as contraciclico, 0.02 as gsib
     )
SELECT 
    GREATEST(r.rwa, f.rwa_floor) as rwa_aplicable,
    GREATEST(r.rwa, f.rwa_floor) * (0.08 + b.conservacion + b.contraciclico + b.gsib) as capital_total,
    GREATEST(r.rwa, f.rwa_floor) * 0.08 as pilar1,
    GREATEST(r.rwa, f.rwa_floor) * p2r.ratio as pilar2
FROM rwa_total r, floor_calc f, buffers b
JOIN pilar2_requerimientos p2r ON 1=1;
```"
14,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este cálculo de pérdida esperada:
```sql
SELECT SUM(ead * pd * lgd) as expected_loss
FROM cartera;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ✅ **Fórmula correcta**: EL = EAD × PD × LGD es la fórmula estándar.
2. ⚠️ **Sin comparación con provisiones**: CRR Art. 159 compara EL con provisiones para ajuste de capital.
3. ⚠️ **Sin desglose**: Debe separarse por categoría de exposición y estado (performing/non-performing).
4. ⚠️ **Consistencia parámetros**: Verificar que PD y LGD sean consistentes (TTC vs PIT).

**Código mejorado:**
```sql
SELECT 
    segmento,
    estado,
    SUM(ead * pd * lgd) as expected_loss,
    SUM(provision_ifrs9) as provisiones,
    SUM(ead * pd * lgd) - SUM(provision_ifrs9) as shortfall,
    CASE 
        WHEN SUM(ead * pd * lgd) > SUM(provision_ifrs9) 
        THEN 'DEDUCIR_CET1'  -- Art. 159(1)
        ELSE 'AÑADIR_T2'     -- Art. 159(2), máx 0.6% RWA
    END as tratamiento_capital
FROM cartera
GROUP BY segmento, estado;
```"
15,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza este SQL de cure rate:
```sql
SELECT COUNT(CASE WHEN curado = 1 THEN 1 END) / COUNT(*) as cure_rate
FROM defaults_historicos;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Sin período de observación**: EBA requiere período mínimo de cura (típicamente 12 meses sin reincidencia).
2. ❌ **Sin probation period**: Debe verificarse que cliente permanece sano tras cura (mínimo 3 meses).
3. ❌ **Redefault no considerado**: Debe medir tasa de re-default post-cura.
4. ⚠️ **Impacto en LGD**: Cure rate afecta LGD workout vs LGD cure.

**Código corregido:**
```sql
WITH curas AS (
    SELECT d.default_id,
           d.fecha_default,
           c.fecha_cura,
           DATEDIFF(month, c.fecha_cura, GETDATE()) as meses_desde_cura,
           CASE WHEN rd.redefault_id IS NOT NULL THEN 1 ELSE 0 END as redefault
    FROM defaults_historicos d
    LEFT JOIN curas_registradas c ON d.default_id = c.default_id
    LEFT JOIN redefaults rd ON c.cura_id = rd.cura_origen_id
)
SELECT 
    COUNT(CASE WHEN fecha_cura IS NOT NULL AND meses_desde_cura >= 12 THEN 1 END) 
        * 1.0 / NULLIF(COUNT(*), 0) as cure_rate_estable,
    AVG(CASE WHEN redefault = 1 THEN 1.0 ELSE 0.0 END) as tasa_redefault,
    1 - AVG(CASE WHEN redefault = 1 THEN 1.0 ELSE 0.0 END) as cure_rate_neto
FROM curas
WHERE fecha_default <= DATEADD(year, -2, GETDATE());  -- Cohortes maduras
```"
16,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este SQL de concentración sectorial:
```sql
SELECT sector, SUM(exposicion) as exposicion_total
FROM cartera
GROUP BY sector
ORDER BY exposicion_total DESC;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ⚠️ **Sin límites de concentración**: CRR Art. 395 limita grandes exposiciones al 25% del capital.
2. ❌ **Sin HHI**: Debe calcularse índice Herfindahl-Hirschman para medir concentración.
3. ❌ **Falta correlación intra-sector**: Pilar 2 requiere add-on por concentración.
4. ⚠️ **Sin connected parties**: Grupos conectados deben agregarse.

**Código mejorado:**
```sql
WITH exposiciones AS (
    SELECT sector, SUM(exposicion) as exp_sector
    FROM cartera
    GROUP BY sector
),
totales AS (
    SELECT SUM(exp_sector) as exp_total FROM exposiciones
),
capital AS (
    SELECT cet1 FROM ratios_capital WHERE fecha = (SELECT MAX(fecha) FROM ratios_capital)
)
SELECT 
    e.sector,
    e.exp_sector,
    e.exp_sector * 100.0 / t.exp_total as pct_cartera,
    e.exp_sector / c.cet1 as pct_capital,
    CASE WHEN e.exp_sector / c.cet1 > 0.25 THEN 'EXCESO_LIMITE' ELSE 'OK' END as limite_25pct,
    POWER(e.exp_sector / t.exp_total, 2) as hhi_componente
FROM exposiciones e, totales t, capital c
ORDER BY e.exp_sector DESC;

-- HHI total
SELECT SUM(POWER(exp_sector / (SELECT SUM(exp_sector) FROM exposiciones), 2)) as hhi_total
FROM exposiciones;
```"
17,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza este cálculo de margen de conservadurismo:
```sql
SELECT pd_estimada * 1.10 as pd_con_margen
FROM modelos_pd;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Margen arbitrario**: 10% no está justificado por análisis de incertidumbre.
2. ❌ **Sin componentes MoC**: EBA/GL/2017/16 párrafo 122-124 requiere MoC por: (A) datos, (B) métodos, (C) modelo.
3. ❌ **Sin proporcionalidad**: MoC debe ser mayor donde hay más incertidumbre.
4. ⚠️ **Documentación**: Debe justificarse cuantitativamente.

**Código corregido:**
```sql
WITH incertidumbres AS (
    SELECT modelo_id,
           pd_estimada,
           -- Componente A: Calidad de datos
           CASE 
               WHEN n_observaciones < 100 THEN 0.05
               WHEN n_observaciones < 500 THEN 0.03
               ELSE 0.01
           END as moc_datos,
           -- Componente B: Metodología
           CASE 
               WHEN metodo = 'EXPERT' THEN 0.05
               WHEN metodo = 'STATISTICAL' THEN 0.02
               ELSE 0.03
           END as moc_metodo,
           -- Componente C: Error de estimación
           error_estandar / NULLIF(pd_estimada, 0) as moc_estimacion
    FROM modelos_pd
)
SELECT modelo_id,
       pd_estimada,
       pd_estimada * (1 + moc_datos + moc_metodo + COALESCE(moc_estimacion, 0.02)) as pd_con_moc,
       moc_datos + moc_metodo + COALESCE(moc_estimacion, 0.02) as moc_total_pct
FROM incertidumbres;
```"
18,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este SQL de cálculo de exposiciones off-balance:
```sql
SELECT contrato_id, limite - dispuesto as off_balance
FROM lineas_credito;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ✅ **Cálculo base correcto**: Off-balance = Límite - Dispuesto.
2. ❌ **Sin CCF para EAD**: CRR Art. 166 requiere aplicar factor de conversión.
3. ❌ **Sin distinción por tipo**: CCF varía según compromiso (revocable/irrevocable).
4. ⚠️ **Compromisos revocables**: Antes tenían CCF=0%, ahora 10% bajo Basel III final.

**Código corregido:**
```sql
SELECT 
    c.contrato_id,
    c.limite - c.dispuesto as off_balance,
    CASE c.tipo_compromiso
        WHEN 'IRREVOCABLE' THEN 
            CASE c.producto
                WHEN 'LINEA_LIQUIDEZ' THEN 1.00  -- 100%
                WHEN 'COMERCIO_EXTERIOR' THEN 0.50
                ELSE ccf.ccf_estimado
            END
        WHEN 'REVOCABLE_INCONDICIONAL' THEN 0.10  -- Basel III final
        ELSE 0.40  -- Otros
    END as ccf,
    c.dispuesto + (c.limite - c.dispuesto) * ccf as ead_total
FROM lineas_credito c
LEFT JOIN ccf_modelos ccf ON c.segmento = ccf.segmento;
```"
19,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza este SQL de vintage analysis:
```sql
SELECT fecha_originacion, COUNT(*) as num_creditos
FROM cartera
GROUP BY fecha_originacion;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Sin tasas de default**: Vintage analysis requiere medir default rates por cohorte.
2. ❌ **Sin maduración**: Debe mostrar evolución temporal de cada vintage.
3. ❌ **Sin normalización**: Tasas deben ser acumuladas y/o marginales.
4. ⚠️ **Granularidad**: Típicamente por trimestre o año de originación.

**Código corregido:**
```sql
WITH vintage_data AS (
    SELECT 
        DATE_TRUNC('quarter', fecha_originacion) as vintage,
        DATEDIFF(month, fecha_originacion, COALESCE(fecha_default, GETDATE())) as mob,
        CASE WHEN default_flag = 1 THEN 1 ELSE 0 END as default_ind,
        1 as credito
    FROM cartera
)
SELECT 
    vintage,
    mob as months_on_books,
    COUNT(*) as creditos_originados,
    SUM(default_ind) as defaults_acumulados,
    SUM(default_ind) * 100.0 / COUNT(*) as tasa_default_acumulada,
    SUM(default_ind) - LAG(SUM(default_ind)) OVER (PARTITION BY vintage ORDER BY mob) 
        as defaults_marginales
FROM vintage_data
WHERE mob BETWEEN 0 AND 36  -- Primeros 3 años
GROUP BY vintage, mob
ORDER BY vintage, mob;
```"
20,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este SQL de migración entre stages IFRS9:
```sql
SELECT old_stage, new_stage, COUNT(*) as migraciones
FROM stage_changes
GROUP BY old_stage, new_stage;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ⚠️ **Sin importe**: Debe ponderar por exposición, no solo contar operaciones.
2. ❌ **Sin drivers de migración**: IFRS 9 B5.5.17 requiere analizar causas del SICR.
3. ❌ **Sin temporal**: Debe segmentarse por período para detectar tendencias.
4. ⚠️ **Sin impacto P&L**: Migración Stage 1→2 aumenta provisiones significativamente.

**Código corregido:**
```sql
WITH migraciones AS (
    SELECT 
        sc.periodo,
        sc.old_stage,
        sc.new_stage,
        sc.operacion_id,
        c.ead,
        c.provision_old,
        c.provision_new,
        sc.driver_migracion  -- 30dpd, watch_list, sector_deterioro, etc.
    FROM stage_changes sc
    JOIN cartera c ON sc.operacion_id = c.operacion_id
)
SELECT 
    periodo,
    old_stage,
    new_stage,
    COUNT(*) as num_operaciones,
    SUM(ead) as exposicion_migrada,
    SUM(provision_new - provision_old) as impacto_provisiones,
    driver_migracion,
    COUNT(*) * 100.0 / SUM(COUNT(*)) OVER (PARTITION BY periodo, old_stage) as pct_migracion
FROM migraciones
GROUP BY periodo, old_stage, new_stage, driver_migracion
ORDER BY periodo, old_stage, new_stage;
```"
