ID_CONTR_CICLO_LGD,ID_FUSION_FINAL,SEGMENTO,CALIBRATION_SEGMENT,PRODUCTO,TERMINACION,CAUSA_DEFAULT,FECHA_DEFAULT,OR_DISPTO,COLATERAL_TIPO,VALOR_COLATERAL_INICIAL,TIPO_INTERES_ORIGINAL,FECHA_REFERENCIA,MES_CICLO,PD_ESTIMADA,LGD_ESTIMADA,LGD_REALIZADA,EAD,ECL,PROVISION,STAGE_IFRS9,CURE_FLAG,DPDS,RATING_GRADO,SALDO_PENDIENTE,TIPO_INTERES_ACTUAL,INTERESES_ACUMULADOS,FLUJO_RECUPERADO,COSTE_RECUPERACION,FLUJO_NETO,RECUPERACION_ACUMULADA,COSTE_TOTAL_ACUMULADO,ADJUDICACION_FLAG,ADJUDICACION_TIPO,ADJUDICACION_VALOR,VALOR_COLATERAL,LTV,TASA_DESCUENTO,RWA,ESTADO_CICLO
100001_202005,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-05-01,15,0.4008,0.61863404,0.9936717,1048526.41,259980.58,259980.58,3,0,450,10,1362928.61,0.06032,102764.85,0.0,0.0,0.0,6635.39,150.08,0,,0.0,441326.92,2.897362,0.033972,67124.88,RECUPERACION
100001_202006,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-06-01,16,0.39246667,0.63649298,0.9936717,1048526.41,261924.29,261924.29,3,0,480,9,1362928.61,0.06032,109615.84,0.0,0.0,0.0,6635.39,150.08,0,,0.0,424043.87,2.897362,0.05088,69748.21,RECUPERACION
100001_202007,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-07-01,17,0.38413333,0.65435191,0.9936717,1048526.41,263555.9,263555.9,3,0,510,9,1362928.61,0.06032,116466.83,0.0,0.0,0.0,6635.39,150.08,0,,0.0,415527.6,2.897362,0.027699,75999.09,RECUPERACION
100001_202008,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-08-01,18,0.3758,0.67221085,0.9936717,1048526.41,264875.43,264875.43,3,0,540,9,1362928.61,0.06032,123317.82,0.0,0.0,0.0,6635.39,150.08,0,,0.0,411148.87,2.897362,0.028988,79635.01,RECUPERACION
100001_202009,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-09-01,19,0.36746667,0.69006979,0.9936717,1048526.41,265882.86,265882.86,3,0,570,9,1362928.61,0.06032,130168.81,0.0,0.0,0.0,6635.39,150.08,0,,0.0,444886.63,2.897362,0.032201,74494.61,RECUPERACION
100001_202010,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-10-01,20,0.35913333,0.70792872,0.9936717,1048526.41,266578.2,266578.2,3,0,600,10,1361104.27,0.06032,137019.8,1824.34,35.61,1788.73,8459.73,185.69,0,,0.0,436805.41,2.893483,0.036357,89551.8,RECUPERACION
100001_202011,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-11-01,21,0.3508,0.72477271,0.99193179,1048526.41,266588.12,266588.12,3,0,630,9,1361104.27,0.06032,143678.22,0.0,0.0,0.0,8459.73,185.69,0,,0.0,413158.47,2.893483,0.030308,70270.59,RECUPERACION
100001_202012,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-12-01,22,0.34246667,0.74258332,0.99193179,1048526.41,266650.79,266650.79,3,0,660,9,1361104.27,0.06032,150520.04,0.0,0.0,0.0,8459.73,185.69,0,,0.0,426974.17,2.893483,0.037207,80614.78,RECUPERACION
100001_202101,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-01-01,23,0.33413333,0.76039392,0.99193179,1048526.41,266402.2,266402.2,3,0,690,9,1361104.27,0.06032,157361.86,0.0,0.0,0.0,8459.73,185.69,0,,0.0,396048.63,2.893483,0.032668,82628.18,RECUPERACION
100001_202102,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-02-01,24,0.3258,0.77820453,0.99193179,1048526.41,265842.37,265842.37,3,0,720,10,1361104.27,0.06032,164203.68,0.0,0.0,0.0,8459.73,185.69,0,,0.0,389887.21,2.893483,0.0353,99618.27,RECUPERACION
100001_202103,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-03-01,25,0.31746667,0.79601513,0.99193179,1048526.41,264971.3,264971.3,3,0,750,10,1361104.27,0.06032,171045.5,0.0,0.0,0.0,8459.73,185.69,0,,0.0,440876.4,2.893483,0.041339,72629.73,RECUPERACION
100001_202104,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-04-01,26,0.30913333,0.81382574,0.99193179,1048526.41,263788.97,263788.97,3,0,780,9,1361104.27,0.06032,177887.32,0.0,0.0,0.0,8459.73,185.69,0,,0.0,399352.09,2.893483,0.028531,93389.7,RECUPERACION
100001_202105,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-05-01,27,0.3008,0.83163634,0.99193179,1048526.41,262295.4,262295.4,3,0,810,9,1361104.27,0.06032,184729.14,0.0,0.0,0.0,8459.73,185.69,0,,0.0,435020.87,2.893483,0.036741,92202.4,RECUPERACION
100001_202106,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-06-01,28,0.29246667,0.84944695,0.99193179,1048526.41,260490.57,260490.57,3,0,840,9,1361104.27,0.06032,191570.96,0.0,0.0,0.0,8459.73,185.69,0,,0.0,432999.45,2.893483,0.040312,69404.78,RECUPERACION
100001_202107,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-07-01,29,0.28413333,0.86725755,0.99193179,1048526.41,258374.5,258374.5,3,0,870,10,1351664.69,0.06032,198412.78,9439.58,125.35,9314.23,17899.31,311.04,0,,0.0,397745.83,2.873416,0.026543,89162.43,RECUPERACION
100001_202108,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-08-01,30,0.2758,0.8775659,0.98292908,1048526.41,253777.65,253777.65,3,0,900,10,1351664.69,0.06032,203831.1,0.0,0.0,0.0,17899.31,311.04,0,,0.0,412813.48,2.873416,0.031488,77171.45,RECUPERACION
100001_202109,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-09-01,31,0.26746667,0.89512643,0.98292908,1048526.41,251034.5,251034.5,3,0,930,9,1351664.69,0.06032,210625.47,0.0,0.0,0.0,17899.31,311.04,0,,0.0,397061.76,2.873416,0.024629,85144.85,RECUPERACION
100001_202110,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-10-01,32,0.25913333,0.91268696,0.98292908,1048526.41,247984.48,247984.48,3,0,960,9,1351664.69,0.06032,217419.84,0.0,0.0,0.0,17899.31,311.04,0,,0.0,379819.48,2.873416,0.046978,95080.21,RECUPERACION
100001_202111,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-11-01,33,0.2508,0.93024749,0.98292908,1048526.41,244627.58,244627.58,3,0,990,9,1351664.69,0.06032,224214.21,0.0,0.0,0.0,17899.31,311.04,0,,0.0,363437.89,2.873416,0.038084,70581.31,RECUPERACION
100001_202112,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2021-12-01,34,0.24246667,0.94780802,0.98292908,1048526.41,240963.8,240963.8,3,0,1020,9,1351664.69,0.06032,231008.58,0.0,0.0,0.0,17899.31,311.04,0,,0.0,379699.96,2.873416,0.03005,73936.96,RECUPERACION
100001_202201,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2022-01-01,35,0.23413333,0.96536855,0.98292908,1048526.41,236993.14,236993.14,3,0,1050,10,1351664.69,0.06032,237802.95,0.0,0.0,0.0,17899.31,311.04,0,,0.0,365764.07,2.873416,0.032981,67224.66,RECUPERACION
100001_202202,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2022-02-01,36,0.2258,0.98292908,0.98292908,1048526.41,232715.6,232715.6,3,0,1080,10,1351664.69,0.06032,244597.32,0.0,0.0,0.0,17899.31,311.04,0,,0.0,353292.13,2.873416,0.04399,69630.34,RECUPERACION
100001_202203,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2022-03-01,37,0.21746667,0.98292908,0.98292908,1048526.41,224127.04,224127.04,3,0,1110,10,1351664.69,0.06032,251391.69,0.0,0.0,0.0,17899.31,311.04,0,,0.0,348657.52,2.873416,0.048136,77448.63,RECUPERACION
100001_202204,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2022-04-01,38,0.20913333,0.98292908,0.98292908,1048526.41,215538.48,215538.48,3,0,1140,9,1351664.69,0.06032,258186.06,0.0,0.0,0.0,17899.31,311.04,0,,0.0,346694.05,2.873416,0.035541,93280.81,RECUPERACION
100001_202205,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2022-05-01,39,0.2008,0.98292908,0.98292908,1048526.41,206949.92,206949.92,3,0,1170,10,1351664.69,0.06032,264980.43,0.0,0.0,0.0,17899.31,311.04,0,,0.0,408298.25,2.873416,0.026833,93944.18,RECUPERACION
100001_202206,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2022-06-01,40,0.19246667,0.98292908,0.98292908,1048526.41,198361.36,198361.36,3,0,1200,10,1351664.69,0.06032,271774.8,0.0,0.0,0.0,17899.31,311.04,0,,0.0,400015.27,2.873416,0.03221,91768.96,RECUPERACION
100001_202207,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2022-07-01,41,0.18413333,0.98292908,0.98292908,1048526.41,189772.8,189772.8,3,0,1230,9,1351664.69,0.06032,278569.17,0.0,0.0,0.0,17899.31,311.04,0,,0.0,377798.73,2.873416,0.037011,94504.49,RECUPERACION
100001_202208,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2022-08-01,42,0.1758,0.98292908,0.98292908,1048526.41,181184.24,181184.24,3,0,1260,10,1351664.69,0.06032,285363.54,0.0,0.0,0.0,17899.31,311.04,0,,0.0,414153.29,2.873416,0.037489,76453.62,RECUPERACION
100002_202002,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-02-01,1,1.0,0.73212458,1.0,950101.19,695592.44,695592.44,3,0,30,9,1182149.98,0.12497,12311.11,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.033545,68550.87,ESTIMACION
100002_202003,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-03-01,2,1.0,0.73977817,1.0,950101.19,702864.12,702864.12,3,0,60,10,1182149.98,0.12497,24622.22,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.038239,81001.45,ESTIMACION
100002_202004,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-04-01,3,1.0,0.74743175,1.0,950101.19,710135.8,710135.8,3,0,90,10,1182149.98,0.12497,36933.33,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.029925,70723.49,ESTIMACION
100002_202005,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-05-01,4,0.52166667,0.75508533,1.0,950101.19,374247.57,374247.57,3,0,120,10,1182149.98,0.12497,49244.44,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.020746,69956.33,RECUPERACION
100002_202006,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-06-01,5,0.51333333,0.76273892,1.0,950101.19,372001.96,372001.96,3,0,150,9,1182149.98,0.12497,61555.55,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.041098,74238.2,RECUPERACION
100002_202007,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-07-01,6,0.505,0.7703925,1.0,950101.19,369635.17,369635.17,3,0,180,10,1150025.83,0.12497,73866.66,32124.15,1174.27,30949.88,32124.15,1174.27,0,,0.0,0.0,0.0,0.038737,79634.01,RECUPERACION
100002_202008,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-08-01,7,0.49666667,0.77147167,0.96618871,950101.19,364044.82,364044.82,3,0,210,10,1127203.73,0.12497,83835.92,22822.1,250.52,22571.58,54946.25,1424.79,0,,0.0,0.0,0.0,0.033451,68250.48,RECUPERACION
100002_202009,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-09-01,8,0.48833333,0.77284811,0.942168,950101.19,358575.31,358575.31,3,0,240,9,1127203.73,0.12497,93911.12,0.0,0.0,0.0,54946.25,1424.79,0,,0.0,0.0,0.0,0.031704,72480.66,RECUPERACION
100002_202010,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-10-01,9,0.48,0.77889525,0.942168,950101.19,355214.07,355214.07,3,0,270,9,1116711.2,0.12497,105650.01,10492.53,442.41,10050.12,65438.78,1867.2,0,,0.0,0.0,0.0,0.044498,81964.45,RECUPERACION
100002_202011,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-11-01,10,0.47166667,0.78187473,0.93112441,950101.19,350382.35,350382.35,3,0,300,10,1116711.2,0.12497,116296.2,0.0,0.0,0.0,65438.78,1867.2,0,,0.0,0.0,0.0,0.051829,90841.61,RECUPERACION
100002_202012,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2020-12-01,11,0.46333333,0.7876151,0.93112441,950101.19,346718.84,346718.84,3,0,330,10,1116711.2,0.12497,127925.82,0.0,0.0,0.0,65438.78,1867.2,0,,0.0,0.0,0.0,0.025129,83416.01,RECUPERACION
100002_202101,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-01-01,12,0.455,0.79335547,0.93112441,950101.19,342964.43,342964.43,3,0,360,10,1116711.2,0.12497,139555.44,0.0,0.0,0.0,65438.78,1867.2,0,,0.0,0.0,0.0,0.026149,69155.13,RECUPERACION
100002_202102,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-02-01,13,0.44666667,0.79909584,0.93112441,950101.19,339119.12,339119.12,3,0,390,10,1100030.46,0.12497,151185.06,16680.74,267.45,16413.29,82119.52,2134.65,0,,0.0,0.0,0.0,0.027576,72451.99,RECUPERACION
100002_202103,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-03-01,14,0.43833333,0.79800857,0.91356761,950101.19,332339.46,332339.46,3,0,420,10,1100030.46,0.12497,160382.6,0.0,0.0,0.0,82119.52,2134.65,0,,0.0,0.0,0.0,0.040592,73580.2,RECUPERACION
100002_202104,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-04-01,15,0.43,0.80326125,0.91356761,950101.19,328167.17,328167.17,3,0,450,9,1100030.46,0.12497,171838.5,0.0,0.0,0.0,82119.52,2134.65,0,,0.0,0.0,0.0,0.042479,72663.33,RECUPERACION
100002_202105,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-05-01,16,0.42166667,0.80851394,0.91356761,950101.19,323911.71,323911.71,3,0,480,10,1091788.19,0.12497,183294.4,8242.27,242.53,7999.74,90361.79,2377.18,0,,0.0,0.0,0.0,0.045446,72628.99,RECUPERACION
100002_202106,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-06-01,17,0.41333333,0.80967002,0.90489246,950101.19,317964.29,317964.29,3,0,510,10,1091788.19,0.12497,193291.02,0.0,0.0,0.0,90361.79,2377.18,0,,0.0,0.0,0.0,0.029939,88380.05,RECUPERACION
100002_202107,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-07-01,18,0.405,0.81468173,0.90489246,950101.19,313482.18,313482.18,3,0,540,10,1091788.19,0.12497,204661.08,0.0,0.0,0.0,90361.79,2377.18,0,,0.0,0.0,0.0,0.036762,72332.46,RECUPERACION
100002_202108,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-08-01,19,0.39666667,0.81969344,0.90489246,950101.19,308920.71,308920.71,3,0,570,10,1091788.19,0.12497,216031.14,0.0,0.0,0.0,90361.79,2377.18,0,,0.0,0.0,0.0,0.031022,86190.47,RECUPERACION
100002_202109,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-09-01,20,0.38833333,0.82470514,0.90489246,950101.19,304279.88,304279.88,3,0,600,9,1077855.93,0.12497,227401.2,13932.26,672.81,13259.45,104294.05,3049.99,0,,0.0,0.0,0.0,0.03673,62030.45,RECUPERACION
100002_202110,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-10-01,21,0.38,0.82116286,0.89022848,950101.19,296471.37,296471.37,3,0,630,9,1077855.93,0.12497,235724.37,0.0,0.0,0.0,104294.05,3049.99,0,,0.0,0.0,0.0,0.027503,89621.36,RECUPERACION
100002_202111,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-11-01,22,0.37166667,0.82576724,0.89022848,950101.19,291595.71,291595.71,3,0,660,10,1075897.89,0.12497,246949.34,1958.04,43.94,1914.1,106252.09,3093.93,0,,0.0,0.0,0.0,0.044676,78400.37,RECUPERACION
100002_202112,100002,SME,SME_MICRO,TARJETA,SUBASTA,90_DIAS_VENCIDO,2020-01-02,1182149.98,NINGUNA,0.0,0.12497,2021-12-01,23,0.36333333,0.82905494,0.88816761,950101.19,286192.61,286192.61,3,0,690,9,1075897.89,0.12497,257705.34,0.0,0.0,0.0,106252.09,3093.93,0,,0.0,0.0,0.0,0.032488,81803.39,RECUPERACION
