CICLO_ID,CONTRATO,SEGMENTO,RATING_GRADO,PD_ESTIMADA,LGD_ESTIMADA,EAD,DPDS,STAGE_IFRS9,ECL,PROVISION_PERIOD_MONTHS,VENTANA_OBSERVACION_YEARS,VENTANA_CALIBRACION_YEARS,COLATERAL_TIPO,LGD_FLOOR_APLICADO,MoC,FECHA_INCUMPLIMIENTO,CURE_FLAG,PERIODO_OBSERVACION,RWA
CIC_00015,CONT_146228,MORTGAGE,2,0.002639,0.5817,71474.1,4,1,109.72,31,5.2,5.5,HIPOTECA,0.3,0.0206,2024-05-11,0,2024-05-15,31182.36
CIC_00016,CONT_934794,CORP,6,0.012286,0.6813,320371.12,9,1,2681.65,31,6.4,5.5,NINGUNA,0.45,0.0164,2024-06-29,0,2024-07-08,163701.63
CIC_00017,CONT_870763,CORP,6,0.012286,0.513,128517.22,299,3,810.01,6,7.9,9.7,NINGUNA,0.45,0.024,2023-06-06,0,2024-03-31,49447.0
CIC_00018,CONT_910891,RETAIL,5,0.009518,0.0478,352132.7,85,2,160.21,20,5.5,9.2,PERSONAL,0.0,0.0239,2024-02-01,0,2024-04-26,12623.96
CIC_00019,CONT_704596,MORTGAGE,6,0.012286,0.4924,202840.8,260,3,1227.11,27,5.0,9.9,HIPOTECA,0.3,0.008,2023-06-10,0,2024-02-25,74909.11
CIC_00020,CONT_681343,RETAIL,5,0.009518,0.0133,220848.47,0,1,27.96,28,4.8,8.5,PERSONAL,0.0,0.0254,,0,2024-06-02,2202.96
CIC_00021,CONT_636004,RETAIL,4,0.006964,0.1261,470480.02,22,1,413.16,18,5.9,8.0,PERSONAL,0.0,0.0129,2024-10-01,0,2024-10-23,44495.65
CIC_00022,CONT_760356,SME,3,0.004656,0.1977,145474.27,0,1,133.91,16,3.2,6.6,FINANCIERO,0.0,0.0044,,0,2024-01-24,21570.2
CIC_00023,CONT_587213,RETAIL,7,0.015245,0.1483,125772.3,74,2,284.35,16,8.4,9.5,PERSONAL,0.0,0.0287,2024-07-10,0,2024-09-22,13989.02
CIC_00024,CONT_666390,MORTGAGE,8,0.018379,0.4838,361040.61,57,2,3210.29,33,7.8,7.6,HIPOTECA,0.3,0.0191,2024-07-28,0,2024-09-23,131003.59
CIC_00025,CONT_413118,CORP,3,0.004656,0.4952,194602.47,0,1,448.69,7,6.3,7.9,NINGUNA,0.45,0.0126,,0,2024-10-26,72275.36
CIC_00026,CONT_513160,SME,7,0.015245,0.1615,368643.86,0,1,907.63,19,5.7,7.7,FINANCIERO,0.0,0.0239,,0,2024-03-25,44651.99
CIC_00027,CONT_335113,CORP,2,0.002639,0.6428,72171.25,0,1,122.43,1,4.8,7.5,NINGUNA,0.45,0.0083,,0,2024-08-03,34793.76
CIC_00028,CONT_220096,CORP,1,0.001,0.6763,475057.81,7,1,321.28,27,5.6,7.6,NINGUNA,0.45,0.014,2024-05-04,0,2024-05-11,240961.2
CIC_00029,CONT_464069,RETAIL,5,0.009518,0.0324,17710.82,0,1,5.46,12,7.7,5.8,PERSONAL,0.0,0.009,,0,2024-12-16,430.37
CIC_00030,CONT_556732,SME,6,0.012286,0.0207,325533.91,84,2,82.79,31,5.0,9.8,FINANCIERO,0.0,0.0053,2024-07-02,0,2024-09-24,5053.91
CIC_00031,CONT_389688,MORTGAGE,6,0.012286,0.5555,416211.85,0,1,2840.59,7,6.6,8.2,HIPOTECA,0.3,0.0255,,0,2024-04-03,173404.26
CIC_00032,CONT_680358,CORP,9,0.021674,0.7344,47378.42,24,1,754.14,23,5.6,7.6,NINGUNA,0.45,0.0028,2024-03-30,0,2024-04-23,26096.03
CIC_00033,CONT_650121,MORTGAGE,7,0.015245,0.599,277442.29,0,1,2533.54,5,5.6,6.0,HIPOTECA,0.3,0.0161,,0,2024-12-19,124640.95
CIC_00034,CONT_561865,MORTGAGE,2,0.002639,0.5498,151642.0,0,1,220.02,26,6.9,6.7,HIPOTECA,0.3,0.0283,,0,2024-11-22,62529.58
CIC_00035,CONT_913373,MORTGAGE,3,0.004656,0.5896,129976.8,60,2,356.81,13,6.3,5.8,HIPOTECA,0.3,0.0169,2024-04-05,0,2024-06-04,57475.74
CIC_00036,CONT_528361,SME,8,0.018379,0.2726,152189.8,19,1,762.49,33,4.8,9.8,FINANCIERO,0.0,0.0063,2024-11-15,0,2024-12-04,31115.2
CIC_00037,CONT_966785,SME,10,0.025119,0.141,21156.73,10,1,74.93,34,6.5,8.6,FINANCIERO,0.0,0.0177,2024-04-01,0,2024-04-11,2237.32
CIC_00038,CONT_127121,RETAIL,2,0.002639,0.0179,397351.14,0,1,18.77,17,6.6,6.9,PERSONAL,0.0,0.0148,,0,2024-02-11,5334.44
CIC_00039,CONT_195674,CORP,4,0.006964,0.7386,418799.51,101,3,2154.14,33,7.5,6.7,NINGUNA,0.45,0.0141,2024-08-20,0,2024-11-29,231993.99
CIC_00040,CONT_639593,SME,6,0.012286,0.1225,163923.84,0,1,246.71,35,7.6,6.8,FINANCIERO,0.0,0.0011,,0,2024-02-15,15060.5
CIC_00041,CONT_114338,CORP,9,0.021674,0.5886,31831.02,17,1,406.08,4,7.9,6.4,NINGUNA,0.45,0.0131,2024-12-06,0,2024-12-23,14051.8
CIC_00042,CONT_728492,SME,2,0.002639,0.0674,421495.81,4,1,74.97,25,5.2,9.7,FINANCIERO,0.0,0.0125,2024-08-31,0,2024-09-04,21306.61
CIC_00043,CONT_495533,RETAIL,2,0.002639,0.0829,396053.06,0,1,86.65,27,4.5,8.8,PERSONAL,0.0,0.0147,,0,2024-03-17,24624.6
CIC_00044,CONT_232378,SME,6,0.012286,0.2609,490483.44,0,1,1572.2,31,8.0,5.7,FINANCIERO,0.0,0.0114,,0,2024-12-05,95975.35
CIC_00045,CONT_498468,MORTGAGE,2,0.002639,0.5623,222951.57,0,1,330.84,6,5.1,9.4,HIPOTECA,0.3,0.0291,,0,2024-06-22,94024.25
CIC_00046,CONT_252640,MORTGAGE,8,0.018379,0.5617,22770.05,238,3,235.07,6,7.9,7.5,HIPOTECA,0.3,0.0262,2023-12-21,0,2024-08-15,9592.45
CIC_00047,CONT_587853,RETAIL,9,0.021674,0.1236,342491.18,0,1,917.5,24,8.4,8.3,PERSONAL,0.0,0.0043,,0,2024-08-24,31748.93
CIC_00048,CONT_970357,MORTGAGE,9,0.021674,0.3474,223656.24,12,1,1684.03,15,6.4,6.6,HIPOTECA,0.3,0.0256,2024-02-12,0,2024-02-24,58273.63
CIC_00049,CONT_813928,SME,5,0.009518,0.0024,433208.36,116,3,9.9,33,7.9,9.2,FINANCIERO,0.0,0.0182,2024-03-05,0,2024-06-29,779.78
CIC_00050,CONT_385765,RETAIL,2,0.002639,0.271,324938.6,0,1,232.39,19,6.1,6.1,PERSONAL,0.0,0.0053,,0,2024-03-08,66043.77
CIC_00051,CONT_662636,RETAIL,5,0.009518,0.2742,472372.97,48,1,1232.82,36,6.6,5.8,PERSONAL,0.0,0.0202,2024-06-04,0,2024-07-22,97143.5
CIC_00052,CONT_835132,CORP,8,0.018379,0.5606,375760.74,67,2,3871.56,5,8.7,6.0,NINGUNA,0.45,0.0265,2024-08-08,0,2024-10-14,157988.6
CIC_00053,CONT_203831,MORTGAGE,7,0.015245,0.335,27446.67,0,1,140.17,23,5.6,7.9,HIPOTECA,0.3,0.0285,,0,2024-12-22,6895.98
CIC_00054,CONT_989227,SME,10,0.025119,0.1224,476003.16,0,1,1463.5,12,6.5,6.6,FINANCIERO,0.0,0.011,,0,2024-11-26,43697.09
CIC_00055,CONT_724932,SME,2,0.002639,0.1988,322643.71,31,2,169.27,8,5.6,6.1,FINANCIERO,0.0,0.023,2024-03-16,0,2024-04-16,48106.18
CIC_00056,CONT_599380,CORP,5,0.009518,0.7075,76620.55,64,2,515.96,9,5.0,5.9,NINGUNA,0.45,0.0237,2024-08-25,0,2024-10-28,40656.78
CIC_00057,CONT_565108,SME,6,0.012286,0.154,58981.73,17,1,111.6,23,8.6,8.5,FINANCIERO,0.0,0.0009,2024-08-16,0,2024-09-02,6812.39
CIC_00058,CONT_325468,CORP,2,0.002639,0.5466,78425.24,0,1,113.13,28,7.2,6.8,NINGUNA,0.45,0.0238,,0,2024-02-28,32150.43
CIC_00059,CONT_236435,SME,8,0.000243,0.2664,209837.72,0,1,13.58,2,4.9,7.4,FINANCIERO,0.0,0.0206,,0,2024-08-30,41925.58
CIC_00060,CONT_467121,CORP,10,0.025119,0.737,283033.27,0,1,5239.71,18,7.5,8.9,NINGUNA,0.45,0.0105,,0,2024-10-22,156446.64
CIC_00061,CONT_132146,MORTGAGE,2,0.002639,0.5288,289179.5,26,1,403.55,14,4.1,8.6,HIPOTECA,0.3,0.0229,2024-05-27,0,2024-06-22,114688.59
CIC_00062,CONT_534303,CORP,9,3.3e-05,0.5145,212817.08,0,1,3.61,11,6.0,9.7,NINGUNA,0.45,0.0047,,0,2024-11-12,82120.79
CIC_00063,CONT_108105,MORTGAGE,4,9.4e-05,0.5265,61339.67,14,1,3.04,10,7.2,7.9,HIPOTECA,0.3,0.0295,2024-01-15,0,2024-01-29,24221.5
CIC_00064,CONT_843963,SME,7,0.015245,0.0527,193202.69,23,1,155.22,36,7.5,7.1,FINANCIERO,0.0,0.0131,2024-07-31,0,2024-08-23,7636.34
CIC_00065,CONT_635280,SME,5,0.009518,0.0346,15324.0,40,2,5.05,16,8.6,5.9,FINANCIERO,0.0,0.012,2024-01-01,0,2024-02-10,397.66
CIC_00066,CONT_707616,CORP,9,0.021674,0.603,453431.75,0,1,5926.09,13,5.2,6.4,NINGUNA,0.45,0.0197,,0,2024-03-31,205064.51
CIC_00067,CONT_996840,SME,10,0.000139,0.1929,493333.31,0,1,13.23,6,4.5,7.5,FINANCIERO,0.0,0.0017,,0,2024-09-16,71373.0
CIC_00068,CONT_188425,CORP,10,0.025119,0.6282,195318.83,0,1,3082.08,28,8.1,8.4,NINGUNA,0.45,0.0045,,0,2024-02-01,92024.47
CIC_00069,CONT_811332,RETAIL,1,0.001,0.0743,221690.35,15,1,16.47,22,6.1,9.6,PERSONAL,0.0,0.0204,2024-01-12,0,2024-01-27,12353.69
CIC_00070,CONT_774751,SME,5,0.009518,0.0756,426525.3,0,1,306.91,18,7.1,6.1,FINANCIERO,0.0,0.021,,0,2024-07-19,24183.98
CIC_00071,CONT_206053,MORTGAGE,3,0.004656,0.501,415334.69,0,1,968.83,20,4.4,7.8,HIPOTECA,0.3,0.0285,,0,2024-06-23,156062.01
CIC_00072,CONT_921874,CORP,6,0.012286,0.7129,310925.58,0,1,2723.3,32,8.2,9.0,NINGUNA,0.45,0.0123,,0,2024-12-12,166244.13
CIC_00073,CONT_362147,SME,4,0.006964,0.1602,158186.61,331,3,176.48,23,5.4,8.6,FINANCIERO,0.0,0.0085,2023-08-18,0,2024-07-14,19006.12
CIC_00074,CONT_535050,CORP,8,0.018379,0.7122,279497.67,75,2,3658.49,23,5.8,8.9,NINGUNA,0.45,0.0044,2024-05-28,0,2024-08-11,149293.68
CIC_00075,CONT_105506,CORP,7,0.015245,0.6006,121710.15,0,1,1114.4,34,8.7,9.3,NINGUNA,0.45,0.0011,,0,2024-08-29,54824.34
CIC_00076,CONT_702980,CORP,1,0.000244,0.5268,418306.73,0,1,53.77,16,5.8,6.9,NINGUNA,0.45,0.0238,,0,2024-08-22,165272.99
CIC_00077,CONT_491435,RETAIL,3,0.004656,0.0874,5774.35,0,1,2.35,11,7.5,7.9,PERSONAL,0.0,0.0163,,0,2024-09-16,378.51
CIC_00078,CONT_850827,MORTGAGE,1,0.001,0.4071,38441.98,76,2,15.65,20,7.8,7.0,HIPOTECA,0.3,0.0244,2024-01-14,0,2024-03-30,11737.3
CIC_00079,CONT_938171,SME,1,0.001,0.088,26684.11,0,1,2.35,24,5.9,5.6,FINANCIERO,0.0,0.0226,,0,2024-04-07,1761.15
CIC_00080,CONT_410000,MORTGAGE,7,0.015245,0.5668,372937.31,264,3,3222.5,17,6.7,7.7,HIPOTECA,0.3,0.0218,2023-05-22,0,2024-02-10,158535.65
CIC_00081,CONT_249715,MORTGAGE,8,0.000189,0.4808,215927.46,0,1,19.62,22,7.8,9.6,HIPOTECA,0.3,0.0294,,0,2024-01-30,77863.44
CIC_00082,CONT_218959,SME,1,0.001,0.0379,121817.71,0,1,4.62,20,7.1,8.2,FINANCIERO,0.0,0.0229,,0,2024-10-20,3462.67
CIC_00083,CONT_192055,CORP,3,0.004656,0.5997,196558.75,37,2,548.83,18,7.7,6.5,NINGUNA,0.45,0.03,2024-03-06,0,2024-04-12,88407.21
CIC_00084,CONT_678443,MORTGAGE,6,0.012286,0.5129,277248.59,87,2,1747.08,34,7.7,9.7,HIPOTECA,0.3,0.0067,2024-01-16,0,2024-04-12,106650.6
CIC_00085,CONT_678083,RETAIL,10,0.025119,0.2653,37545.31,0,1,250.2,13,8.0,9.2,PERSONAL,0.0,0.0193,,0,2024-08-18,7470.58
CIC_00086,CONT_231250,RETAIL,3,0.004656,0.1298,455802.57,0,1,275.46,20,5.9,6.2,PERSONAL,0.0,0.0156,,0,2024-05-25,44372.38
CIC_00087,CONT_699929,MORTGAGE,10,0.025119,0.46,253773.71,0,1,2932.29,35,7.3,9.6,HIPOTECA,0.3,0.0012,,0,2024-01-15,87551.93
CIC_00088,CONT_427766,SME,10,0.025119,0.1917,251528.84,21,1,1211.19,18,5.9,6.6,FINANCIERO,0.0,0.0207,2024-02-29,0,2024-03-21,36163.56
CIC_00089,CONT_705748,MORTGAGE,6,0.012286,0.5926,69729.25,0,1,507.68,5,6.6,6.7,HIPOTECA,0.3,0.0087,,0,2024-07-15,30991.17
CIC_00090,CONT_988324,MORTGAGE,4,0.006964,0.194,251641.44,59,2,339.97,25,6.7,5.9,HIPOTECA,0.3,0.0072,2024-08-27,0,2024-10-25,36613.83
CIC_00091,CONT_740725,CORP,7,0.015245,0.4902,135914.09,0,1,1015.7,20,6.3,8.1,NINGUNA,0.45,0.0022,,0,2024-09-15,49968.82
CIC_00092,CONT_742848,CORP,3,0.004656,0.7425,199982.34,51,2,691.35,8,5.4,7.8,NINGUNA,0.45,0.0041,2024-04-29,0,2024-06-19,111365.17
CIC_00093,CONT_821466,MORTGAGE,3,0.004656,0.4179,310167.74,0,1,603.51,18,6.8,7.7,HIPOTECA,0.3,0.0005,,0,2024-06-18,97214.32
CIC_00094,CONT_562462,CORP,10,0.025119,0.5924,483699.99,26,1,7197.7,33,7.1,6.3,NINGUNA,0.45,0.0044,2024-11-18,0,2024-12-14,214907.91
CIC_00095,CONT_808699,MORTGAGE,7,0.015245,0.3454,346797.63,62,2,1826.11,25,7.8,5.8,HIPOTECA,0.3,0.0098,2024-10-04,0,2024-12-05,89837.93
CIC_00096,CONT_701334,MORTGAGE,10,0.025119,0.4453,478882.01,0,1,5356.53,31,8.9,6.8,HIPOTECA,0.3,0.0211,,0,2024-06-11,159934.62
CIC_00097,CONT_214532,SME,7,0.015245,0.2455,477531.39,0,1,1787.23,29,8.8,5.9,FINANCIERO,0.0,0.0144,,0,2024-04-13,87925.47
CIC_00098,CONT_598807,RETAIL,4,0.006964,0.0152,453066.17,0,1,47.96,30,6.4,8.7,PERSONAL,0.0,0.0002,,0,2024-10-08,5164.95
CIC_00099,CONT_295361,SME,4,0.006964,0.2268,147186.29,121,3,232.47,32,4.4,8.1,FINANCIERO,0.0,0.0281,2023-11-30,0,2024-03-30,25036.39
CIC_00100,CONT_114768,MORTGAGE,1,0.001,0.3028,286141.12,0,1,86.64,13,9.0,7.9,HIPOTECA,0.3,0.014,,0,2024-04-08,64982.65
CIC_00101,CONT_374258,MORTGAGE,5,0.000117,0.4703,379854.96,69,2,20.9,14,6.8,5.9,HIPOTECA,0.3,0.0143,2024-02-28,0,2024-05-07,133984.34
CIC_00102,CONT_735163,MORTGAGE,4,0.006964,0.3186,63521.3,10,1,140.94,6,8.7,9.5,HIPOTECA,0.3,0.0275,2024-05-21,0,2024-05-31,15178.41
CIC_00103,CONT_272529,MORTGAGE,7,0.015245,0.5106,456834.46,64,2,3556.04,25,7.6,8.2,HIPOTECA,0.3,0.0211,2023-12-07,0,2024-02-09,174944.76
CIC_00104,CONT_176577,MORTGAGE,9,0.021674,0.4326,341746.14,0,1,3204.27,13,2.6,4.0,HIPOTECA,0.3,0.0137,,0,2024-01-30,110879.54
CIC_00105,CONT_495833,CORP,7,0.015245,0.5534,36561.16,126,3,308.45,33,6.6,6.8,NINGUNA,0.45,0.0192,2024-07-23,0,2024-11-26,15174.71
CIC_00106,CONT_497700,SME,2,0.002639,0.2048,332587.31,0,1,179.75,32,9.0,7.3,FINANCIERO,0.0,0.025,,0,2024-01-12,51085.41
CIC_00107,CONT_146385,RETAIL,4,0.006964,0.1382,81785.08,0,1,78.71,16,7.5,8.3,PERSONAL,0.0,0.003,,0,2024-01-18,8477.02
CIC_00108,CONT_533649,SME,8,0.018379,0.0703,112548.26,0,1,145.42,19,9.0,6.6,FINANCIERO,0.0,0.0232,,0,2024-06-13,5934.11
CIC_00109,CONT_352673,MORTGAGE,5,0.009518,0.3183,474517.53,29,1,1437.59,29,6.4,7.7,HIPOTECA,0.3,0.0236,2024-05-14,0,2024-06-12,113279.2
CIC_00110,CONT_154040,RETAIL,5,0.000136,0.2573,76454.12,15,1,2.68,21,8.9,8.0,PERSONAL,0.0,0.0061,2024-11-12,0,2024-11-27,14753.73
CIC_00111,CONT_354377,MORTGAGE,7,0.015245,0.2781,303446.41,34,2,1286.5,24,7.1,8.5,HIPOTECA,0.3,0.0272,2024-05-01,0,2024-06-04,63291.33
CIC_00112,CONT_147936,RETAIL,7,0.015245,0.2745,278279.25,0,1,1164.53,25,7.4,6.9,PERSONAL,0.0,0.014,,0,2024-08-28,57290.74
CIC_00113,CONT_875520,RETAIL,3,0.004656,0.0049,278889.22,0,1,6.36,35,5.4,6.5,PERSONAL,0.0,0.0165,,0,2024-12-16,1024.92
CIC_00114,CONT_329344,SME,8,1.2e-05,0.0505,398512.88,0,1,0.24,4,2.4,10.0,FINANCIERO,0.0,0.0254,,0,2024-12-08,15093.68
CIC_00115,CONT_212214,SME,6,0.012286,0.0181,320675.65,20,1,71.31,7,4.6,7.9,FINANCIERO,0.0,0.0217,2024-09-11,0,2024-10-01,4353.17
CIC_00116,CONT_781463,CORP,9,0.021674,0.4947,100006.37,0,1,1072.28,23,6.3,7.2,NINGUNA,0.45,0.0297,,0,2024-04-25,37104.86
CIC_00117,CONT_694316,CORP,2,0.002639,0.5716,191698.94,16,1,289.17,27,4.9,9.3,NINGUNA,0.45,0.0292,2024-09-11,0,2024-09-27,82181.34
CIC_00118,CONT_990704,SME,5,0.009518,0.014,41802.29,0,1,5.57,27,8.3,5.6,FINANCIERO,0.0,0.0246,,0,2024-07-22,438.92
CIC_00119,CONT_572436,SME,9,0.021674,0.0995,379026.59,0,1,817.39,16,2.8,5.7,FINANCIERO,0.0,0.0102,,0,2024-11-10,28284.86
CIC_00120,CONT_423241,SME,4,0.006964,0.1067,470865.71,0,1,349.88,11,7.3,9.1,FINANCIERO,0.0,0.0114,,0,2024-11-20,37681.03
CIC_00121,CONT_860053,SME,6,0.012286,0.2284,55604.55,0,1,156.03,11,7.0,4.6,FINANCIERO,0.0,0.0028,,0,2024-11-02,9525.06
CIC_00122,CONT_746624,RETAIL,10,0.025119,0.1563,344231.42,0,1,1351.49,17,6.7,5.8,PERSONAL,0.0,0.0145,,0,2024-02-09,40352.53
CIC_00123,CONT_828716,RETAIL,8,0.018379,0.0321,155805.71,51,2,91.92,13,6.0,7.0,PERSONAL,0.0,0.0181,2024-10-31,0,2024-12-21,3751.02
CIC_00124,CONT_172518,SME,10,0.025119,0.2346,166313.69,0,1,980.07,14,8.7,6.4,FINANCIERO,0.0,0.0165,,0,2024-08-24,29262.89
CIC_00125,CONT_722665,SME,8,0.018379,0.0418,154902.16,9,1,119.0,6,8.1,5.8,FINANCIERO,0.0,0.016,2024-12-11,0,2024-12-20,4856.18
CIC_00126,CONT_331768,CORP,2,0.002639,0.6807,330512.81,12,1,593.72,34,7.4,8.4,NINGUNA,0.45,0.0003,2024-04-30,0,2024-05-12,168735.05
CIC_00127,CONT_465219,SME,6,0.012286,0.1173,387309.41,0,1,558.17,22,9.0,7.7,FINANCIERO,0.0,0.0026,,0,2024-03-13,34073.55
CIC_00128,CONT_584498,SME,2,0.002639,0.1314,349897.82,0,1,121.33,6,7.7,5.6,FINANCIERO,0.0,0.024,,0,2024-05-04,34482.43
CIC_00129,CONT_938338,RETAIL,7,0.015245,0.1889,97261.53,0,1,280.09,22,7.3,6.4,PERSONAL,0.0,0.0211,,0,2024-04-15,13779.53
CIC_00130,CONT_744333,RETAIL,6,0.012286,0.0978,231487.46,0,1,278.15,21,7.4,8.2,PERSONAL,0.0,0.0104,,0,2024-08-22,16979.61
CIC_00131,CONT_274971,CORP,3,0.004656,0.544,123093.5,4,1,311.78,27,6.8,7.4,NINGUNA,0.45,0.0056,2024-11-17,0,2024-11-21,50222.15
CIC_00132,CONT_186686,SME,5,0.009518,0.0421,160717.11,69,2,64.4,35,8.8,7.7,FINANCIERO,0.0,0.0168,2024-09-22,0,2024-11-30,5074.64
CIC_00133,CONT_853905,CORP,4,0.006964,0.5376,141052.19,48,1,528.08,26,7.0,9.0,NINGUNA,0.45,0.0172,2024-03-30,0,2024-05-17,56872.24
CIC_00134,CONT_467663,SME,9,0.021674,0.0656,215451.57,0,1,306.33,36,9.0,7.5,FINANCIERO,0.0,0.0132,,0,2024-03-01,10600.22
CIC_00135,CONT_199850,SME,3,0.004656,0.1848,393500.41,27,1,338.58,19,6.9,8.2,FINANCIERO,0.0,0.0088,2024-09-23,0,2024-10-20,54539.16
CIC_00136,CONT_573947,RETAIL,7,0.015245,0.2756,496280.68,28,1,2085.13,35,5.1,6.2,PERSONAL,0.0,0.0253,2024-06-22,0,2024-07-20,102581.22
CIC_00137,CONT_322142,CORP,2,0.002639,0.5709,376152.18,0,1,566.71,7,6.7,8.1,NINGUNA,0.45,0.019,,0,2024-12-23,161058.96
CIC_00138,CONT_548580,SME,5,0.00027,0.0969,145378.57,18,1,3.8,4,6.7,7.0,FINANCIERO,0.0,0.0235,2024-08-05,0,2024-08-23,10565.39
CIC_00139,CONT_323788,RETAIL,3,0.004656,0.2646,154423.42,0,1,190.25,10,6.1,5.9,PERSONAL,0.0,0.0092,,0,2024-12-24,30645.33
CIC_00140,CONT_413791,SME,2,0.002639,0.0398,116964.48,0,1,12.29,31,6.0,6.0,FINANCIERO,0.0,0.0021,,0,2024-07-15,3491.39
CIC_00141,CONT_205345,RETAIL,7,0.015245,0.232,377813.11,0,1,1336.26,23,7.0,8.2,PERSONAL,0.0,0.0064,,0,2024-03-18,65739.48
CIC_00142,CONT_297810,RETAIL,2,0.000247,0.1769,195095.8,0,1,8.52,28,7.4,6.6,PERSONAL,0.0,0.0085,,0,2024-12-19,25884.34
CIC_00143,CONT_483162,SME,5,0.009518,0.1939,392981.79,0,1,725.26,25,5.6,8.4,FINANCIERO,0.0,0.0004,,0,2024-07-03,57149.38
CIC_00144,CONT_260097,RETAIL,8,0.018379,0.2863,386331.69,0,1,2032.84,25,5.5,9.7,PERSONAL,0.0,0.0214,,0,2024-07-31,82955.07
CIC_00145,CONT_877722,MORTGAGE,2,3.4e-05,0.393,258095.83,0,1,3.45,18,6.3,8.4,HIPOTECA,0.3,0.0219,,0,2024-05-02,76073.75
CIC_00146,CONT_375722,RETAIL,2,0.002639,0.0038,72919.84,345,3,0.73,1,6.9,9.0,PERSONAL,0.0,0.0225,2023-06-07,0,2024-05-17,207.82
CIC_00147,CONT_257375,CORP,8,0.00025,0.5866,183261.33,0,1,26.88,1,5.6,6.0,NINGUNA,0.45,0.0069,,0,2024-09-17,80625.82
CIC_00148,CONT_148159,RETAIL,1,0.001,0.1659,457404.1,0,1,75.88,17,5.6,9.6,PERSONAL,0.0,0.0171,,0,2024-03-02,56912.51
CIC_00149,CONT_913575,SME,2,0.002639,0.2631,433685.95,0,1,301.12,18,7.0,5.5,FINANCIERO,0.0,0.0091,,0,2024-11-14,85577.08
CIC_00150,CONT_162804,RETAIL,9,0.021674,0.2281,126337.8,0,1,624.59,4,6.9,8.4,PERSONAL,0.0,0.0197,,0,2024-06-06,21613.24
CIC_00151,CONT_373668,RETAIL,5,0.000169,0.0279,461030.83,0,1,2.17,4,8.5,7.6,PERSONAL,0.0,0.004,,0,2024-07-20,9647.07
CIC_00152,CONT_585854,MORTGAGE,7,0.015245,0.5102,368999.67,0,1,2870.08,12,8.7,6.1,HIPOTECA,0.3,0.0049,,0,2024-08-26,141197.72
