ROW_ID,centroid_distance,top1_feature,top1_contribution,top2_feature,top3_feature
6992,2.8096,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
6993,2.8812,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
7003,2.6575,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7007,2.6588,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7009,2.6934,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7011,2.6687,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7013,2.6592,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7016,2.6595,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7017,2.6888,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7018,2.6786,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7019,2.7113,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7020,2.6698,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7021,2.6606,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7022,2.6556,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7023,2.6877,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7024,2.6946,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7026,2.7384,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7027,2.8465,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7028,2.8149,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7029,2.8358,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7030,2.8537,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7031,2.8409,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7032,2.822,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7033,2.8099,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7034,2.8319,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7035,2.8361,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7036,2.8491,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7037,2.8373,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7038,2.8785,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7039,2.8671,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7040,2.8302,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7041,2.8989,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7042,2.9273,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7043,2.9132,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7044,2.9563,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7045,2.8766,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7046,2.9332,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7047,2.8803,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7048,2.8914,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7049,2.8394,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7050,2.8813,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7051,2.9554,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7052,2.9538,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7053,2.9161,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7054,2.9031,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7055,2.8846,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7056,2.9048,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7057,3.0088,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7058,2.8931,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7059,2.9113,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7060,3.014,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7061,3.0692,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
7229,2.6611,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=VENTA_CARTERA
7230,2.655,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=VENTA_CARTERA
7234,3.032,CAUSA_DEFAULT=QUIEBRA,0.9255,ESTADO_CICLO=CERRADO,TERMINACION=VENTA_CARTERA
7383,2.7745,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,PRODUCTO=TARJETA
7384,2.8073,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,PRODUCTO=TARJETA
7392,2.9164,CAUSA_DEFAULT=QUIEBRA,0.9255,FLUJO_RECUPERADO,PRODUCTO=TARJETA
7429,2.9367,CAUSA_DEFAULT=QUIEBRA,0.9255,ESTADO_CICLO=CERRADO,PRODUCTO=TARJETA
7641,2.7154,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
7642,2.7621,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
7645,2.7404,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,TERMINACION=VENTA_CARTERA,COLATERAL_TIPO=FINANCIERO
7646,2.9566,ESTADO_CICLO=CERRADO,0.9035,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
8251,2.8173,ESTADO_CICLO=CERRADO,0.9035,CAUSA_DEFAULT=IMPROBABLE_PAGO,COLATERAL_TIPO=NINGUNA
8529,2.6862,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
10312,2.7326,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,PRODUCTO=TARJETA
10313,2.7412,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,PRODUCTO=TARJETA
10827,2.6871,PD_ESTIMADA,0.9142,CALIBRATION_SEGMENT=CORP_SMALL,TERMINACION=LIQUIDACION
10828,2.7161,PD_ESTIMADA,0.9142,CALIBRATION_SEGMENT=CORP_SMALL,TERMINACION=LIQUIDACION
10886,2.8129,ESTADO_CICLO=CERRADO,0.9035,CALIBRATION_SEGMENT=CORP_SMALL,TERMINACION=LIQUIDACION
11169,2.7083,CAUSA_DEFAULT=QUIEBRA,0.9255,ESTADO_CICLO=CERRADO,TERMINACION=VENTA_CARTERA
11626,2.8521,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
11627,2.7674,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
11697,2.658,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,TERMINACION=SUBASTA
12324,2.7967,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=LIQUIDACION
12325,2.8045,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=LIQUIDACION
12380,2.9798,CAUSA_DEFAULT=QUIEBRA,0.9255,ESTADO_CICLO=CERRADO,TERMINACION=LIQUIDACION
12535,2.7008,PD_ESTIMADA,0.9142,COLATERAL_TIPO=NINGUNA,CALIBRATION_SEGMENT=CORP_SMALL
12536,2.7027,PD_ESTIMADA,0.9142,COLATERAL_TIPO=NINGUNA,CALIBRATION_SEGMENT=CORP_SMALL
12620,2.9987,PD_ESTIMADA,0.9142,PRODUCTO=TARJETA,TERMINACION=SUBASTA
12621,3.0427,PD_ESTIMADA,0.9142,PRODUCTO=TARJETA,TERMINACION=SUBASTA
12622,2.7894,PD_ESTIMADA,0.9142,PRODUCTO=TARJETA,TERMINACION=SUBASTA
13331,2.7478,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=SUBASTA
13332,2.7359,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=SUBASTA
13363,2.7787,CAUSA_DEFAULT=QUIEBRA,0.9255,TERMINACION=SUBASTA,COLATERAL_TIPO=FINANCIERO
13889,2.6671,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,CAUSA_DEFAULT=IMPROBABLE_PAGO
13890,2.6816,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,CAUSA_DEFAULT=IMPROBABLE_PAGO
14590,2.702,CAUSA_DEFAULT=QUIEBRA,0.9255,ESTADO_CICLO=CERRADO,COLATERAL_TIPO=GARANTIA_PERSONAL
15001,2.8397,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,PRODUCTO=TARJETA
15002,2.8229,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,PRODUCTO=TARJETA
15281,2.6972,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,STAGE_IFRS9
15282,2.6787,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,STAGE_IFRS9
15693,2.7722,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,CALIBRATION_SEGMENT=CORP_SMALL
15694,2.7641,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,CALIBRATION_SEGMENT=CORP_SMALL
15757,3.1514,ESTADO_CICLO=CERRADO,0.9035,COLATERAL_TIPO=GARANTIA_PERSONAL,CALIBRATION_SEGMENT=CORP_SMALL
15758,2.7644,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
15759,2.7127,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
15789,2.9495,ESTADO_CICLO=CERRADO,0.9035,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
16140,2.8282,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,STAGE_IFRS9
16141,2.8222,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,STAGE_IFRS9
16163,2.7582,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,STAGE_IFRS9,COLATERAL_TIPO=PRENDA
16164,2.7344,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,STAGE_IFRS9,COLATERAL_TIPO=PRENDA
16165,2.735,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,STAGE_IFRS9,COLATERAL_TIPO=PRENDA
16166,2.7486,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,STAGE_IFRS9,COLATERAL_TIPO=PRENDA
16167,2.7826,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,STAGE_IFRS9,COLATERAL_TIPO=PRENDA
16168,2.8434,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,STAGE_IFRS9,COLATERAL_TIPO=PRENDA
16169,2.8664,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,STAGE_IFRS9,COLATERAL_TIPO=PRENDA
16170,3.1263,ESTADO_CICLO=CERRADO,0.9035,CAUSA_DEFAULT=IMPROBABLE_PAGO,RECUPERACION_ACUMULADA
16298,2.6863,PD_ESTIMADA,0.9142,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
16299,2.6786,PD_ESTIMADA,0.9142,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
16335,2.7158,PRODUCTO=TARJETA,0.8865,COLATERAL_TIPO=NINGUNA,CAUSA_DEFAULT=90_DIAS_VENCIDO
16337,2.7235,PRODUCTO=TARJETA,0.8865,COLATERAL_TIPO=NINGUNA,CAUSA_DEFAULT=90_DIAS_VENCIDO
16338,2.6596,PRODUCTO=TARJETA,0.8865,COLATERAL_TIPO=NINGUNA,CAUSA_DEFAULT=90_DIAS_VENCIDO
16339,2.6687,PRODUCTO=TARJETA,0.8865,COLATERAL_TIPO=NINGUNA,CAUSA_DEFAULT=90_DIAS_VENCIDO
16343,2.6924,PRODUCTO=TARJETA,0.8865,COLATERAL_TIPO=NINGUNA,CAUSA_DEFAULT=90_DIAS_VENCIDO
16344,2.6971,PRODUCTO=TARJETA,0.8865,COLATERAL_TIPO=NINGUNA,CAUSA_DEFAULT=90_DIAS_VENCIDO
16395,3.0339,ESTADO_CICLO=CERRADO,0.9035,COLATERAL_TIPO=GARANTIA_PERSONAL,CAUSA_DEFAULT=IMPROBABLE_PAGO
16831,2.7355,PD_ESTIMADA,0.9142,COLATERAL_TIPO=FINANCIERO,STAGE_IFRS9
16832,2.7258,PD_ESTIMADA,0.9142,COLATERAL_TIPO=FINANCIERO,STAGE_IFRS9
16839,2.7722,ADJUDICACION_TIPO=DACION_PAGO,0.8934,COLATERAL_TIPO=FINANCIERO,ADJUDICACION_FLAG
17633,2.6807,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=SUBASTA
17634,2.7113,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=SUBASTA
17720,2.8718,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,COLATERAL_TIPO=NINGUNA
17721,2.8569,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,COLATERAL_TIPO=NINGUNA
19180,2.6943,ESTADO_CICLO=CERRADO,0.9035,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
19590,2.6557,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,COLATERAL_TIPO=FINANCIERO
19591,2.699,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,COLATERAL_TIPO=FINANCIERO
19902,2.9895,CAUSA_DEFAULT=QUIEBRA,0.9255,ESTADO_CICLO=CERRADO,PRODUCTO=TARJETA
20436,2.7688,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,CAUSA_DEFAULT=IMPROBABLE_PAGO
20437,2.7836,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,CAUSA_DEFAULT=IMPROBABLE_PAGO
20471,2.6655,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20475,2.666,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20478,2.6551,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20479,2.7162,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20482,2.716,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20483,2.7429,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20484,2.7498,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20485,2.7455,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20486,2.7411,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20487,2.7491,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20488,2.7248,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20489,2.7219,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20490,2.8113,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20491,2.7589,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20492,2.7593,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20493,2.7659,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20494,2.8095,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20495,2.7411,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20496,2.7687,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,CAUSA_DEFAULT=IMPROBABLE_PAGO,CALIBRATION_SEGMENT=CORP_SMALL
20669,2.8249,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=VENTA_CARTERA
20670,2.8561,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=VENTA_CARTERA
20671,2.7159,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,TERMINACION=VENTA_CARTERA
20673,2.7694,CAUSA_DEFAULT=QUIEBRA,0.9255,TERMINACION=VENTA_CARTERA,COLATERAL_TIPO=NINGUNA
20674,2.7168,CAUSA_DEFAULT=QUIEBRA,0.9255,TERMINACION=VENTA_CARTERA,COLATERAL_TIPO=NINGUNA
20675,3.1563,CAUSA_DEFAULT=QUIEBRA,0.9255,RECUPERACION_ACUMULADA,ESTADO_CICLO=CERRADO
20843,3.0152,PD_ESTIMADA,0.9142,TERMINACION=SUBASTA,COLATERAL_TIPO=FINANCIERO
20844,2.9481,PD_ESTIMADA,0.9142,TERMINACION=SUBASTA,COLATERAL_TIPO=FINANCIERO
20845,2.7764,PD_ESTIMADA,0.9142,TERMINACION=SUBASTA,COLATERAL_TIPO=FINANCIERO
21412,2.7958,ESTADO_CICLO=CERRADO,0.9035,CALIBRATION_SEGMENT=CORP_SMALL,TERMINACION=LIQUIDACION
21944,2.7341,ESTADO_CICLO=CERRADO,0.9035,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
22304,2.6596,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,PRODUCTO=TARJETA
22305,2.6848,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,PRODUCTO=TARJETA
22334,2.667,CAUSA_DEFAULT=QUIEBRA,0.9255,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
22335,2.6694,CAUSA_DEFAULT=QUIEBRA,0.9255,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
22336,2.6739,CAUSA_DEFAULT=QUIEBRA,0.9255,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
